target_site.chr,target_gene.start,target_gene.stop,ENSG,gene_short_name,strand,target_site.start,target_site.stop,fold_change.transcript_remaining,pvalue.empirical.adjusted,target_site.strand,mean_ATAC_RPM,PROseq_GB_RPKM,distance,target_promoter.center,target_site.start
chr1,1777990,1778990,ENSG00000008130,NADK,-,2391170,2392170,0.997970151,0.993788975,+,39.86381274,3.146836264,613180,1778490,2391670
chr1,7770740,7771740,ENSG00000049245,VAMP3,+,7961040,7962040,0.999697744,0.998956978,-,28.38730391,0.881671298,190300,7771240,7961540
chr1,24413330,24414330,ENSG00000001460,STPG1,-,23777880,23778880,0.995735453,0.994766441,-,9.967663617,0.164471981,635450,24413830,23778380
chr1,25430870,25431870,ENSG00000204178,TMEM57,+,24642480,24643480,0.995784964,0.993192739,-,28.72670245,1.43835976,788390,25431370,24642980
chr1,25430870,25431870,ENSG00000204178,TMEM57,+,26169360,26170360,0.998842733,0.996440734,+,13.56616782,1.43835976,738490,25431370,26169860
chr1,25543100,25544100,ENSG00000157978,LDLRAP1,+,24642480,24643480,0.996631461,0.994766441,-,28.11852177,0.835361387,900620,25543600,24642980
chr1,26409610,26410610,ENSG00000131914,LIN28A,+,26921130,26922130,0.997944214,0.994766441,+,7.133722435,0.008129045,511520,26410110,26921630
chr1,26826200,26827200,ENSG00000204160,ZDHHC18,+,27489450,27490450,0.986300992,0.990002015,-,15.93193938,1.782816214,663250,26826700,27489950
chr1,27154310,27155310,ENSG00000090020,SLC9A1,-,27489450,27490450,0.984315386,0.992525269,-,13.7052015,1.435608652,335140,27154810,27489950
chr1,27321500,27322500,ENSG00000186501,TMEM222,+,27489450,27490450,0.998899784,0.997579238,-,19.0021645,2.921017038,167950,27322000,27489950
chr1,27934520,27935520,ENSG00000130768,SMPDL3B,+,27489450,27490450,0.978997702,0.990201378,-,11.61285468,0.073090474,445070,27935020,27489950
chr1,27934520,27935520,ENSG00000130768,SMPDL3B,+,28642770,28643770,0.996036118,0.996934332,-,7.539583472,0.073090474,708250,27935020,28643270
chr1,28232600,28233600,ENSG00000126698,DNAJC8,-,27914160,27915160,0.998778641,0.995372014,-,8.015083518,1.09057064,318440,28233100,27914660
chr1,38859380,38860380,ENSG00000116954,RRAGC,-,39025880,39026880,0.998896453,0.996765234,+,12.87857423,0.876881287,166500,38859880,39026380
